trial,model,workload,concurrencyLevel,ioBytesPerTask,numTasks,seconds,throughputTasksPerSec,avgLatencyMicros
3,virtual-threads,io-file-rw-65536B-chunk131072,4,65536,32,0.005352375,5978.654335692099,1741.04028125
1,fixed-pool-4,io-file-rw-262144B-chunk131072,4,262144,32,0.003916,8171.603677221654,442.7903125
2,fixed-pool-4,io-file-rw-262144B-chunk131072,4,262144,32,0.0047705,6707.892254480663,552.716125
3,fixed-pool-4,io-file-rw-262144B-chunk131072,4,262144,32,0.00464325,6891.724546384537,529.1184375
1,work-stealing-4,io-file-rw-262144B-chunk131072,4,262144,32,0.003780458,8464.582862711344,432.93753125
2,work-stealing-4,io-file-rw-262144B-chunk131072,4,262144,32,0.004308958,7426.389396229901,486.23165625
3,work-stealing-4,io-file-rw-262144B-chunk131072,4,262144,32,0.005056,6329.113924050634,512.104125
1,virtual-threads,io-file-rw-262144B-chunk131072,4,262144,32,0.006001458,5332.037648184824,2027.55996875
2,virtual-threads,io-file-rw-262144B-chunk131072,4,262144,32,0.005738292,5576.572262268982,1927.8866875
3,virtual-threads,io-file-rw-262144B-chunk131072,4,262144,32,0.004839,6612.936557139904,1539.74328125
1,fixed-pool-4,io-file-rw-1048576B-chunk131072,4,1048576,32,0.006787125,4714.809289647678,778.558625
2,fixed-pool-4,io-file-rw-1048576B-chunk131072,4,1048576,32,0.007253166,4411.866486993404,837.34753125
3,fixed-pool-4,io-file-rw-1048576B-chunk131072,4,1048576,32,0.006647334,4813.960002611573,757.313875
1,work-stealing-4,io-file-rw-1048576B-chunk131072,4,1048576,32,0.00686525,4661.155820982484,789.05596875
2,work-stealing-4,io-file-rw-1048576B-chunk131072,4,1048576,32,0.006249208,5120.648888627167,723.1354375
3,work-stealing-4,io-file-rw-1048576B-chunk131072,4,1048576,32,0.00680475,4702.597450310445,781.6496875
1,virtual-threads,io-file-rw-1048576B-chunk131072,4,1048576,32,0.009462834,3381.650782418882,3097.6029375
2,virtual-threads,io-file-rw-1048576B-chunk131072,4,1048576,32,0.008647417,3700.5269897357794,2896.997375
3,virtual-threads,io-file-rw-1048576B-chunk131072,4,1048576,32,0.009202,3477.504890241252,3091.15878125
1,fixed-pool-4,io-file-rw-4194304B-chunk131072,4,4194304,32,0.019786333,1617.2779463481181,2326.148375
2,fixed-pool-4,io-file-rw-4194304B-chunk131072,4,4194304,32,0.019452541,1645.029304911888,2293.8893125
3,fixed-pool-4,io-file-rw-4194304B-chunk131072,4,4194304,32,0.01904175,1680.5178095500676,2241.41540625
1,work-stealing-4,io-file-rw-4194304B-chunk131072,4,4194304,32,0.020191792,1584.8023791053315,2380.35934375
2,work-stealing-4,io-file-rw-4194304B-chunk131072,4,4194304,32,0.020250375,1580.2176502904267,2398.2903125
3,work-stealing-4,io-file-rw-4194304B-chunk131072,4,4194304,32,0.019531125,1638.4104858271094,2292.71878125
1,virtual-threads,io-file-rw-4194304B-chunk131072,4,4194304,32,0.02808925,1139.2258604270316,10711.6431875
2,virtual-threads,io-file-rw-4194304B-chunk131072,4,4194304,32,0.02628325,1217.50544548334,11224.496125
3,virtual-threads,io-file-rw-4194304B-chunk131072,4,4194304,32,0.024384416,1312.3135694535395,8301.67703125
